idvpiid,piid,CSIScontractID,ContractLabelID,hyphenatedIDVpiid,CSISidvpiidID,IsPerformanceBasedLogistics,ContractingAgencyID,ContractingOfficeID,MajorCommandID,FundingAgencyID,FundingOfficeID,TypeOfContractPricing,SystemEquipmentCode,StatutoryExceptionToFairOpportunity,ExtentCompeted,MinOfEffectiveDate,MaxOfEffectiveDate,CSISsolicitationID,ContractNumber,MinOfSignedDate,LastUltimateCompletionDate,MaxOfSignedDate,AnyIdentifiedSystemEquipment,CSISmodifiedDate,CSISmodifiedBy
N0017808D5329,1,18804277,NULL,NULL,139040,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5330,1,18804278,NULL,NULL,213466,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5332,1,18804280,NULL,NULL,348872,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5333,1,18804281,NULL,NULL,412521,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5334,1,18804282,NULL,NULL,60133,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5335,1,18804284,NULL,NULL,215506,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5336,1,18804285,NULL,NULL,156457,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5337,1,18804287,NULL,NULL,295717,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5338,1,18804288,NULL,NULL,257326,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5339,1,18804289,NULL,NULL,309590,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5341,1,18804291,NULL,NULL,231416,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5343,1,18804293,NULL,NULL,25355,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5344,1,18804294,NULL,NULL,322661,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5345,1,18804295,NULL,NULL,244350,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5346,1,18804296,NULL,NULL,212024,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5347,1,18804298,NULL,NULL,112282,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5348,1,18804302,NULL,NULL,277728,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5349,1,18804304,NULL,NULL,296977,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5350,1,18804306,NULL,NULL,359729,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5353,1,18804309,NULL,NULL,350772,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5354,1,18804310,NULL,NULL,428705,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5356,1,18804314,NULL,NULL,382766,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5357,1,18804318,NULL,NULL,204373,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5358,1,18804319,NULL,NULL,293989,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5359,1,18804320,NULL,NULL,58879,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5360,1,18804321,NULL,NULL,291880,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5361,1,18804322,NULL,NULL,148580,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5362,1,18804323,NULL,NULL,429732,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5363,1,18804324,NULL,NULL,402688,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5364,1,18804325,NULL,NULL,277538,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5365,1,18804326,NULL,NULL,10807,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5366,1,18804327,NULL,NULL,222958,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5367,1,18804328,NULL,NULL,47545,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5368,1,18804329,NULL,NULL,40493,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5369,1,18804330,NULL,NULL,142224,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5370,1,18804331,NULL,NULL,47392,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5371,1,18804332,NULL,NULL,182705,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5372,1,18804334,NULL,NULL,233701,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5373,1,18804335,NULL,NULL,99700,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5374,1,18804336,NULL,NULL,1294,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5375,1,18804337,NULL,NULL,366056,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5376,1,18804338,NULL,NULL,409005,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5377,1,18804339,NULL,NULL,424329,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5378,1,18804341,NULL,NULL,161280,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5379,1,18804342,NULL,NULL,41378,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5381,1,18804344,NULL,NULL,168666,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5382,1,18804345,NULL,NULL,442137,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5383,1,18804346,NULL,NULL,354192,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5386,1,18804349,NULL,NULL,4944,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5389,1,18804352,NULL,NULL,324483,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5390,1,18804353,NULL,NULL,96485,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5392,1,18804355,NULL,NULL,372699,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5393,1,18804356,NULL,NULL,155133,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5394,1,18804358,NULL,NULL,339824,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5396,1,18804360,NULL,NULL,80410,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
N0017808D5397,1,18804363,NULL,NULL,407775,NULL,1700,N00178,ORG-2941,NULL,NULL,U,0,FAIR,A,00:00.0,00:00.0,209036,NULL,5/29/2008,3/31/2009,5/29/2008,NULL,48:05.0,CSIS\GSanders
