"systemequipmentcode","CSIScontractID","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","MajorCommandID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode2","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","IsFullAndOpen","IsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","numberofoffersreceived","multipleorsingleawardidc","AwardOrIDVcontractactiontype"
"515","2932562","2","69906","69906","98342","2007","2007","0","","M6785407C0014","NA","","23356","","1700","M67854","NA","NA","NA","J","515","","D","NA","True","NA","NA","69906","2007-02-07 00:00:00.0000000","2007-03-29 00:00:00.0000000","69930","69930","98366","NA","0","1","0","0","0","0","0","NA","2007-11-07","2007-08-07","0","0","0","0","0","0",0,1,NA,NA,26,NA,"Definitive Contract"
"516","18684298","4","504786","504786","504786","2008","2008","1","N0002405G4417","L895","NA","","427378","","1700","N62789","NA","NA","NA","U","516","","C","NA","False","NA","NA","504786","2007-11-09 00:00:00.0000000","2008-08-20 00:00:00.0000000","50000","50000","50000","NA","0","1","0","1","1","2","1","NA","2007-12-10","2007-12-10","-125214","-125214","-125214","580000","580000","580000",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"516","3479879","2","180","180","180","2011","2011","0","","N6279311PA055","NA","","23356","","1700","N62793","NA","NA","NA","J","516","","A","NA","True","NA","NA","180","2011-02-24 00:00:00.0000000","2011-02-25 00:00:00.0000000","560","560","560","NA","0","1","0","0","0","0","0","NA","2011-02-24","2011-02-24","0","0","0","0","0","0",1,1,NA,NA,1,NA,"Purchase Order"
"180","3056905","1","15000","15000","15000","2009","2009","0","","N0016409P0637","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","15000","2009-06-11 00:00:00.0000000","2009-06-11 00:00:00.0000000","15000","15000","15000","2","0","0","0","0","0","0","0","NA","2009-06-16","2009-06-16","0","0","0","0","0","0",1,1,NA,NA,2,NA,"Purchase Order"
"180","3055491","1","17105","17105","17105","2008","2008","0","","N0016408P1130","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","17105","2008-05-30 00:00:00.0000000","2008-05-30 00:00:00.0000000","17105","17105","17105","1","0","0","0","0","0","0","0","NA","2008-07-11","2008-07-11","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"180","3052056","3","32960","32960","32960","2007","2011","0","","N0016407P0001","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","32960","2006-10-05 00:00:00.0000000","2011-03-03 00:00:00.0000000","31960.02","31960.02","31960.02","NA","1","1","0","0","0","0","0","NA","2006-11-30","2006-11-30","0","0","0","0","0","0",1,1,NA,NA,3,NA,"Purchase Order"
"180","2964714","15","0","389027999","389027999","2010","2011","0","","N0002410C2308","NA","","23356","","1700","","NA","NA","NA","J","180","","C","NA","True","NA","NA","0","2009-12-02 00:00:00.0000000","2011-09-26 00:00:00.0000000","85349999","85349999","85349999","NA","0","1","0","0","0","1","1","NA","2011-09-22","2011-09-22","0","0","0","3.9e+07","284703000","284703000",0,0,0,0,1,NA,"Definitive Contract"
"180","3052199","1","33837","33837","33837","2007","2007","0","","N0016407P0153","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","33837","2006-12-22 00:00:00.0000000","2006-12-22 00:00:00.0000000","33837","33837","33837","5","0","0","0","0","0","0","0","NA","2007-01-05","2007-01-05","0","0","0","0","0","0",1,1,NA,NA,5,NA,"Purchase Order"
"301","25224065","2","306707","498933","748222","2013","2013","0","","N0001413C0081","NA","","23356","","1700","N00014","NA","NA","NA","U","301","","D","NA","False","NA","NA","306707","2013-03-20 00:00:00.0000000","2013-09-26 00:00:00.0000000","250000","498933","748222","NA","0","1","0","0","0","0","0","NA","2016-12-20","2016-12-20","0","0","0","0","0","0",0,1,NA,NA,999,NA,"Definitive Contract"
"180","3053244","1","49566","49566","49566","2007","2007","0","","N0016407P1294","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","49566","2007-06-11 00:00:00.0000000","2007-06-11 00:00:00.0000000","49566","49566","49566","1","0","0","0","0","0","0","0","NA","2008-03-17","2008-03-17","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"180","3055468","2","21864","21864","21864","2008","2008","0","","N0016408P1106","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","21864","2008-05-28 00:00:00.0000000","2008-06-03 00:00:00.0000000","21864","21864","21864","NA","0","1","0","0","0","0","0","NA","2008-08-06","2008-08-06","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"198","19444939","6","617465.31","617480.47","617480.47","2011","2012","1","N6893611D0029","0001","NA","","60689","","1700","N68936","NA","NA","NA","J","198","","C","NA","True","NA","NA","617465.31","2011-08-25 00:00:00.0000000","2012-08-22 00:00:00.0000000","360000","360000","360000","NA","0","1","0","0","0","2","1","NA","2012-12-31","2012-12-31","0","0","0","257465.31","257465.31","257465.31",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"515","16725672","1","8115.3","8115.3","8115.3","2010","2010","1","GS25F0030M","M6785410F0005","NA","","150837","","1700","M67854","NA","NA","NA","J","515","FAIR","A","NA","True","NA","NA","8115.3","2009-12-24 00:00:00.0000000","2009-12-24 00:00:00.0000000","8115.3","8115.3","8115.3","7","0","0","0","0","0","0","0","NA","2010-01-25","2010-01-25","0","0","0","0","0","0",0,1,NA,NA,7,"MULTIPLE AWARD","Federal Supply Schedule"
"516","2964546","2","20912878","20912878","20912878","2009","2013","0","","N0002409C5304","NA","","23356","","1700","N00024","NA","NA","NA","J","516","","A","NA","True","NA","NA","20912878","2009-09-29 00:00:00.0000000","2013-06-19 00:00:00.0000000","20912878","20912878","20912878","NA","0","1","0","0","0","1","1","NA","2016-10-27","2016-10-27","0","0","0","0","0","0",1,1,NA,NA,1,NA,"Definitive Contract"
"180","18871241","2","101980.86","101980.86","101980.86","2009","2009","1","N0024405D0045","FX03","NA","","385458","","1700","N4523A","NA","NA","NA","U","180","","D","NA","False","NA","NA","101980.86","2009-01-09 00:00:00.0000000","2009-01-23 00:00:00.0000000","101980.86","101980.86","101980.86","NA","0","1","0","0","0","0","0","NA","2009-02-23","2009-02-23","0","0","0","0","0","0",0,1,NA,NA,3,"SINGLE AWARD","Indefinite Delivery Contract"
"198","3094858","13","2434538","0","0","NA","2004","0","","N0017398C2012","NA","","23356","","1700","E3230","NA","NA","NA","S","","","D","NA","False","NA","NA","2434538","1999-12-16 00:00:00.0000000","2004-05-27 00:00:00.0000000","0","0","0","0","0","1","0","0","0","0","0","NA","NA","2004-03-20","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"180","3052148","1","9484","9484","9484","2007","2007","0","","N0016407P0097","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","9484","2006-10-30 00:00:00.0000000","2006-10-30 00:00:00.0000000","9484","9484","9484","2","0","0","0","0","0","0","0","NA","2006-11-13","2006-11-13","0","0","0","0","0","0",1,1,NA,NA,2,NA,"Purchase Order"
"180","3054907","1","8600","8600","8600","2008","2008","0","","N0016408P0517","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","8600","2008-02-23 00:00:00.0000000","2008-02-23 00:00:00.0000000","8600","8600","8600","2","0","0","0","0","0","0","0","NA","2008-04-25","2008-04-25","0","0","0","0","0","0",1,1,NA,NA,2,NA,"Purchase Order"
"515","17979200","1","6708","6708","6708","2007","2007","1","GS35F4389G","M6785407F0054","NA","","323769","","1700","M67854","NA","NA","NA","J","515","FAIR","A","NA","True","NA","NA","6708","2007-06-25 00:00:00.0000000","2007-06-25 00:00:00.0000000","6708","6708","6708","4","0","0","0","0","0","0","0","NA","2008-05-25","2008-05-25","0","0","0","0","0","0",0,1,NA,NA,4,"MULTIPLE AWARD","Federal Supply Schedule"
"198","18655841","1","-411","0","0","NA","2004","1","N0001495D2007","0017","NA","","306283","","1700","E3230","NA","NA","NA","U","198","","A","NA","False","NA","NA","-411","2003-10-06 00:00:00.0000000","2003-10-06 00:00:00.0000000","0","0","0","0","0","1","0","0","0","0","0","NA","NA","2001-05-31","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"515","18090890","1","3572","3572","3572","2008","2008","1","GS35F5192G","M6785408F0021","NA","","442537","","1700","M67854","NA","NA","NA","J","515","ONE","A","NA","True","NA","NA","3572","2008-04-07 00:00:00.0000000","2008-04-07 00:00:00.0000000","3572","3572","3572","3","0","0","0","0","0","0","0","NA","2008-04-10","2008-04-10","0","0","0","0","0","0",0,0,0,0,3,"MULTIPLE AWARD","Federal Supply Schedule"
"180","3054217","1","4030","4030","4030","2007","2007","0","","N0016407P2380","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","4030","2007-09-28 00:00:00.0000000","2007-09-28 00:00:00.0000000","4030","4030","4030","3","0","0","0","0","0","0","0","NA","2007-11-23","2007-11-23","0","0","0","0","0","0",1,1,NA,NA,3,NA,"Purchase Order"
"198","18662828","4","1192465","1192465","1192465","2012","2013","1","N0001909D0022","0064","NA","","420938","","1700","N00019","NA","NA","NA","Y","198","","C","NA","False","NA","NA","1192465","2012-03-16 00:00:00.0000000","2013-02-21 00:00:00.0000000","1192465","1192465","1192465","NA","0","1","0","0","0","1","1","NA","2013-02-28","2013-02-28","0","0","0","0","0","0",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"516","18684148","3","701749","701749","701749","2009","2009","1","N0002405G4417","L144","NA","","427378","","1700","N62789","NA","NA","NA","J","516","","C","NA","True","NA","NA","701749","2008-11-18 00:00:00.0000000","2008-12-23 00:00:00.0000000","608563","608563","608563","NA","0","1","0","1","1","1","1","NA","2008-12-24","2008-12-24","20708","20708","20708","72478","72478","72478",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"180","3057798","1","5636.92","5636.92","5636.92","2010","2010","0","","N0016410P0032","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","5636.92","2009-11-02 00:00:00.0000000","2009-11-02 00:00:00.0000000","5636.92","5636.92","5636.92","2","0","0","0","0","0","0","0","NA","2009-11-12","2009-11-12","0","0","0","0","0","0",1,1,NA,NA,2,NA,"Purchase Order"
"515","2932837","1","5032","5032","5032","2007","2007","0","","M6785407P0038","NA","","23356","","1700","M67854","NA","NA","NA","J","515","","D","NA","True","NA","NA","5032","2007-03-09 00:00:00.0000000","2007-03-09 00:00:00.0000000","5032","5032","5032","3","0","0","0","0","0","0","0","NA","2008-03-14","2008-03-14","0","0","0","0","0","0",0,1,NA,NA,3,NA,"Purchase Order"
"198","18662811","4","1688753","1688753","1688753","2011","2012","1","N0001909D0022","0045","NA","","420938","","1700","N00019","NA","NA","NA","Y","198","","C","NA","False","NA","NA","1688753","2011-02-04 00:00:00.0000000","2011-09-30 00:00:00.0000000","1688753","1688753","1688753","NA","0","1","0","0","0","2","1","NA","2012-03-31","2012-03-31","0","0","0","0","0","0",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"516","18867807","3","2081.37","2081.37","2081.37","2010","2011","1","N0024405D0012","4T40","NA","","163482","","1700","N62793","NA","NA","NA","J","516","FAIR","A","NA","True","NA","NA","2081.37","2010-09-22 00:00:00.0000000","2011-04-20 00:00:00.0000000","3472","3472","3472","NA","1","1","0","0","0","0","0","NA","2011-03-31","2011-03-31","0","0","0","0","0","0",0,1,NA,NA,1,"MULTIPLE AWARD","Indefinite Delivery Contract"
"180","3052099","1","4576","4576","4576","2007","2007","0","","N0016407P0047","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","4576","2006-10-18 00:00:00.0000000","2006-10-18 00:00:00.0000000","4576","4576","4576","2","0","0","0","0","0","0","0","NA","2006-11-01","2006-11-01","0","0","0","0","0","0",1,1,NA,NA,2,NA,"Purchase Order"
"180","18781300","3","4837","4837","4837","2008","2009","1","N0016405D8921","0016","NA","","397381","","1700","N00164","NA","NA","NA","J","180","","A","NA","True","NA","NA","4837","2008-08-04 00:00:00.0000000","2008-11-24 00:00:00.0000000","920","920","920","NA","0","1","0","0","0","1","1","NA","2009-01-23","2009-01-23","0","0","0","3917","3917","3917",1,1,NA,NA,3,"SINGLE AWARD","Indefinite Delivery Contract"
"198","2958542","32","5367911","0","0","NA","2004","0","","N0001495C2152","NA","","23356","","1700","E3230","NA","NA","NA","","","","A","NA","False","NA","NA","5367911","1999-11-17 00:00:00.0000000","2004-04-22 00:00:00.0000000","0","0","0","0","0","1","0","0","0","0","0","NA","NA","2004-03-12","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"516","18684126","3","80573","80573","80573","2008","2008","1","N0002405G4417","L120","NA","","427378","","1700","N62789","NA","NA","NA","","516","","C","NA","","NA","NA","80573","2008-06-10 00:00:00.0000000","2008-09-29 00:00:00.0000000","25000","25000","25000","NA","0","1","0","1","1","0","0","NA","2008-09-30","2008-09-30","-9427","-9427","-9427","0","0","0",0,0,1,0,1,"SINGLE AWARD","Indefinite Delivery Contract"
"515","2933959","1","69964.68","69964.68","99963.33","2010","2010","0","","M6785410C0028","NA","","23356","","1700","M67854","NA","NA","NA","J","515","","D","NA","True","NA","NA","69964.68","2010-09-15 00:00:00.0000000","2010-09-15 00:00:00.0000000","69964.68","69964.68","99963.33","44","0","0","0","0","0","0","0","NA","2011-05-06","2011-02-06","0","0","0","0","0","0",0,1,NA,NA,44,NA,"Definitive Contract"
"180","3052872","1","18720","18720","18720","2007","2007","0","","N0016407P0875","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","18720","2007-04-05 00:00:00.0000000","2007-04-05 00:00:00.0000000","18720","18720","18720","0","0","0","0","0","0","0","0","NA","2007-07-11","2007-07-11","0","0","0","0","0","0",0,0,1,0,0,NA,"Purchase Order"
"180","3057492","1","49500","49500","49500","2009","2009","0","","N0016409P1235","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","49500","2009-09-23 00:00:00.0000000","2009-09-23 00:00:00.0000000","49500","49500","49500","1","0","0","0","0","0","0","0","NA","2009-11-24","2009-11-24","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
"180","3052059","1","20610","20610","20610","2007","2007","0","","N0016407P0004","NA","","23356","","1700","N00164","NA","NA","NA","J","180","","C","NA","True","NA","NA","20610","2006-10-04 00:00:00.0000000","2006-10-04 00:00:00.0000000","20610","20610","20610","1","0","0","0","0","0","0","0","NA","2006-11-06","2006-11-06","0","0","0","0","0","0",0,0,1,0,1,NA,"Purchase Order"
